keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,color expressed rgb,0,5.728,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,1.2,,0.0
1,build neural network,0,1.49,0.5,-0.99,A,ocr_at_tnarr_partial,0.8,1.0,0.5,4.5,,MEDIUM,HIGH,True,,,100.0,100.0,100.0,Optimal,90.0,5,1.2,120.0,0.0
2,dark font,0,4.181,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,1.2,,0.0
3,rgb values,0,7.455,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,1.2,,0.0
4,given background color,0,5.005,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,1.2,,0.0
5,network predicts light,0,2.333,0.5,-1.833,A,ocr_at_tnarr_partial,0.8,1.0,0.5,4.5,,MEDIUM,HIGH,True,,,100.0,100.0,100.0,Optimal,90.0,5,1.2,120.0,0.0
6,input layer,1,9.569,4.5,-5.069000000000001,E,gemini_concept_exact,0.8999999999999999,2.0,4.5,21.5,,HIGH,HIGH,True,input layer:,1.0,100.0,100.0,100.0,Optimal,95.0,5,1.2,120.0,0.0
7,think single pixel,2,10.65,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.1,,0.0
8,single pixel image,2,11.291,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,4,1.1,,0.0
9,values output layer,3,16.338,4.5,-11.838,E,gemini_concept_fuzzy,0.825,2.0,4.5,21.5,,MEDIUM,HIGH,True,output layer:,0.75,100.0,100.0,100.0,Optimal,91.25,1,0.8,80.0,0.0
10,three nodes,3,14.556,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,1,0.8,,0.0
11,weight and bias values,3,15.737,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,1,0.8,,0.0
12,final prediction value,3,19.923,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,1,0.8,,0.0
13,layer contain final,3,13.995,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,1,0.8,,0.0
