keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,rgb values,0,7.455,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
1,build neural network,0,1.49,0.5,-0.99,A,ocr_at_tnarr_partial,0.8,1.0,0.5,4.5,,MEDIUM,HIGH,True,,,100.0,100.0,100.0,Optimal,90.0,4,1.5,150.0,0.0
2,given background color,0,5.005,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
3,network predicts light,0,2.333,0.5,-1.833,A,ocr_at_tnarr_partial,0.8,1.0,0.5,4.5,,MEDIUM,HIGH,True,,,100.0,100.0,100.0,Optimal,90.0,4,1.5,150.0,0.0
4,dark font,0,4.181,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
5,color expressed rgb,0,5.728,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
6,input layer,1,9.569,4.5,-5.069000000000001,E,gemini_concept_exact,0.8999999999999999,2.0,4.5,21.5,,HIGH,HIGH,True,input layer:,1.0,100.0,100.0,100.0,Optimal,95.0,4,1.5,150.0,0.0
7,single pixel image,2,11.291,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,3,1.0,,0.0
8,think single pixel,2,10.65,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
9,layer contain final,3,13.995,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,5,2.0,,0.0
10,hidden layer nodes,3,13.754,4.5,-9.254,E,gemini_concept_fuzzy,0.84,2.0,4.5,21.5,,MEDIUM,HIGH,True,hidden layer (from top to bottom):,0.8,100.0,100.0,100.0,Optimal,92.0,5,2.0,200.0,0.0
11,values output layer,3,16.338,4.5,-11.838,E,gemini_concept_fuzzy,0.825,2.0,4.5,21.5,,MEDIUM,HIGH,True,output layer:,0.75,100.0,100.0,100.0,Optimal,91.25,5,2.0,200.0,0.0
12,final prediction value,3,19.923,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,2.0,,0.0
13,three nodes,3,14.556,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,2.0,,0.0
14,weight and bias values,3,15.737,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,5,2.0,,0.0
15,each input layer node,4,21.485,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,4,1.5,,0.0
16,each hidden layer node,4,21.485,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,4,1.5,,0.0
17,establishing weight,4,25.951,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
18,each hidden node,5,31.358,21.5,-9.858,E,gemini_concept_fuzzy,0.8444444444444443,3.0,21.5,46.5,,MEDIUM,MEDIUM,True,**top hidden node**: this node contains the mathematical expression `w1x1 + w2x2 + w3x3 + b1`. this indicates that it computes a weighted sum of the inputs `x1`,0.815,100.0,100.0,100.0,Optimal,92.22222222222221,4,1.5,150.0,0.0
19,value associated hidden,5,30.037,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
20,bias value associated,5,29.676,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
21,how many hidden layers,6,33.261,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
22,hidden layer determined,6,33.622,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,,No Match,,3,1.0,,0.0
23,each hidden layer,6,35.184,21.5,-13.683999999999996,E,gemini_concept_fuzzy,0.8482758620689654,3.0,21.5,46.5,,MEDIUM,HIGH,True,illustrating the flow of information from an input layer to a hidden layer.,0.828,100.0,100.0,100.0,Optimal,92.41379310344827,3,1.0,100.0,0.0
24,specific problem experimentation,6,37.473,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
25,layers number,6,33.882,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
26,number nodes,6,34.463,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
27,determined specific,6,36.325,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
28,one or more nodes,7,39.696,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
29,output layer,7,41.217,21.5,-19.717,E,gemini_concept_exact,0.8999999999999999,3.0,21.5,46.5,,HIGH,HIGH,True,**output layer (right)**: on the far right,1.0,100.0,100.0,100.0,Optimal,95.0,3,1.0,100.0,0.0
30,nodes exist output,7,40.116,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
31,case,8,42.378,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,,No Match,,2,0.6,,0.0
32,hold final prediction,9,44.0,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
33,zoom output node,10,45.782,50.5,4.718000000000004,E,gemini_concept_fuzzy,0.8444444444444443,5.0,50.5,58.5,,MEDIUM,MEDIUM,False,central output node on the right.,0.815,16.85097074280832,9.869999999999848,16.85097074280832,Disruptive,15.54033968503434,1,0.3,5.055291222842496,21.06442074515522
34,let zoom,10,46.392,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,1,0.3,,0.0
35,prediction categorize light,11,48.044,50.5,2.456000000000003,D,ocr_at_tnarr_partial,0.8,4.0,46.5,50.5,50.5,MEDIUM,MEDIUM,True,,,61.72044923023085,78.15999999999995,61.72044923023085,Suboptimal,55.54840430720776,4,1.5,92.58067384534627,45.935460923722985
