t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,gemini_concept_matched,gemini_match_score,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,gap_since_expired,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
6.877,3.5,-3.377,E,gemini_concept_exact,0.8999999999999999,2.0,3.5,19.5,,HIGH,white and light grey mist fills the valleys,1.0,True,0,valleys,0,MEDIUM,,100.0,100.0,100.0,Optimal,95.0,2,0.6,60.0,0.0
5.234,3.5,-1.734,E,gemini_concept_fuzzy,0.825,2.0,3.5,19.5,,MEDIUM,this image captures a breathtaking aerial or elevated view of a mountainous landscape partially obscured by a thick,0.75,True,1,foggy landscape,0,MEDIUM,,100.0,100.0,100.0,Optimal,91.25,2,0.6,60.0,0.0
9.662,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,2,highest peak,0,MEDIUM,,,,,No Match,,2,0.6,,0.0
7.999,,,F,low_groundability,0.0,,,,,NONE,,,False,3,goal,0,LOW,,,,,No Match,,2,0.6,,0.0
6.216,3.5,-2.716,E,gemini_concept_exact,0.8999999999999999,2.0,3.5,19.5,,HIGH,the upper parts of several forested mountains and hills emerge. the most prominent mountain in the center is densely covered with dark green trees,1.0,True,4,hills,0,MEDIUM,,100.0,100.0,100.0,Optimal,95.0,2,0.6,60.0,0.0
14.992,,,F,low_groundability,0.0,,,,,NONE,,,False,5,one step,1,LOW,,,,,No Match,,2,0.6,,0.0
16.154,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,6,direction,1,MEDIUM,,,,,No Match,,2,0.6,,0.0
15.693,,,F,low_groundability,0.0,,,,,NONE,,,False,7,time,1,LOW,,,,,No Match,,2,0.6,,0.0
18.438,,,F,low_groundability,0.0,,,,,NONE,,,False,8,idea,2,LOW,,,,,No Match,,4,1.5,,0.0
19.5,,,F,low_groundability,0.0,,,,,NONE,,,False,9,essence,2,LOW,,,,,No Match,,4,1.5,,0.0
20.021,20.5,0.4789999999999992,A,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,,HIGH,,,True,10,local search,2,MEDIUM,,98.18121521654717,100.0,98.18121521654717,Optimal,98.18121521654717,4,1.5,147.27182282482076,2.7281771751792405
21.143,21.0,-0.1430000000000006,D,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,21.0,HIGH,,,True,11,optimization,2,MEDIUM,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
30.153,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,12,every possibility,3,MEDIUM,,,,,No Match,,3,1.0,,0.0
23.186,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,13,techniques,3,MEDIUM,,,,,No Match,,3,1.0,,0.0
24.368,24.0,-0.3679999999999985,A,ocr_at_tnarr_partial,0.8,4.0,24.0,28.5,,MEDIUM,,,True,14,search space,3,MEDIUM,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
29.092,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,15,perfect solution,3,MEDIUM,,,,,No Match,,3,1.0,,0.0
33.777,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,16,small changes,4,MEDIUM,,,,,No Match,,4,1.5,,0.0
36.299,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,17,outcome,4,MEDIUM,,,,,No Match,,4,1.5,,0.0
32.295,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,18,good enough solution,4,MEDIUM,,,,,No Match,,4,1.5,,0.0
39.282,39.0,-0.2819999999999965,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,39.0,MEDIUM,,,True,19,single current state,5,MEDIUM,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
41.525,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,20,multiple paths,5,MEDIUM,,,,,No Match,,5,2.0,,0.0
37.24,37.0,-0.240000000000002,A,ocr_at_tnarr_full,1.0,7.0,37.0,54.5,,HIGH,,,True,21,local search algorithms,5,MEDIUM,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
44.448,39.0,-5.448,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,39.0,MEDIUM,,,True,22,neighboring state,6,MEDIUM,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
43.607,39.0,-4.606999999999999,D,ocr_at_tnarr_full,1.0,7.0,37.0,54.5,39.0,HIGH,,,True,23,one state,6,MEDIUM,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
46.89,46.0,-0.8900000000000006,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,46.0,MEDIUM,,,True,24,objective function,6,MEDIUM,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
50.334,,,F,low_groundability,0.0,,,,,NONE,,,False,25,move,7,LOW,,,,,No Match,,4,1.5,,0.0
51.255,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,26,improvement,7,MEDIUM,,,,,No Match,,4,1.5,,0.0
55.862,54.5,-1.362000000000002,A,ocr_at_tnarr_full,1.0,8.0,54.5,60.5,,HIGH,,,True,27,problems,8,MEDIUM,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
57.044,,,F,low_groundability,0.0,,,,,NONE,,,False,28,solution,8,LOW,,,,,No Match,,4,1.5,,0.0
54.56,54.5,-0.0600000000000022,A,ocr_at_tnarr_full,1.0,8.0,54.5,60.5,,HIGH,,,True,29,local search,8,MEDIUM,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
61.991,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,30,hill climbing,9,MEDIUM,,,,,No Match,,1,0.3,,0.0
63.834,64.0,0.1659999999999968,D,ocr_at_tnarr_full,1.0,9.0,60.5,64.0,64.0,HIGH,,,True,31,simplest local search methods,10,MEDIUM,,99.77979480814886,100.0,99.77979480814886,Optimal,99.77979480814886,2,0.6,59.86787688488931,0.1321231151106815
66.118,,,F,low_groundability,0.0,,,,,NONE,,,False,32,idea,11,LOW,,,,,No Match,,4,1.5,,0.0
70.004,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,33,neighboring solutions,11,MEDIUM,,,,,No Match,,4,1.5,,0.0
67.68,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,34,initial solution,11,MEDIUM,,,,,No Match,,4,1.5,,0.0
73.309,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,35,current state,12,MEDIUM,,,,,No Match,,5,2.0,,0.0
72.107,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,36,neighbors,12,MEDIUM,,,,,No Match,,5,2.0,,0.0
74.991,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,37,new state,12,MEDIUM,,,,,No Match,,5,2.0,,0.0
77.134,,,F,low_groundability,0.0,,,,,NONE,,,False,38,process,13,LOW,,,,,No Match,,2,0.6,,0.0
79.318,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,39,better neighbor,14,MEDIUM,,,,,No Match,,4,1.5,,0.0
81.541,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,40,improvement,14,MEDIUM,,,,,No Match,,4,1.5,,0.0
83.064,,,F,low_groundability,0.0,,,,,NONE,,,False,41,point,15,LOW,,,,,No Match,,2,0.6,,0.0
