keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,imagine,0,3.895,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,,No Match,,3,1.0,,0.0
1,valleys goal reach,0,6.861,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
2,reach highest peak,0,9.025,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
3,hills valleys,0,6.24,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
4,standing foggy landscape,0,4.516,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
5,little step time,1,13.474,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
6,direction upward,1,16.139,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
7,ahead little,1,12.191,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
8,time direction,1,15.678,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
9,far ahead,1,11.931,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
10,one step,1,15.097,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,,No Match,,3,1.0,,0.0
11,local search optimization,2,20.007,20.5,0.4929999999999985,A,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,,HIGH,MEDIUM,True,,,98.0743893764054,100.0,98.0743893764054,Optimal,98.0743893764054,3,1.0,98.0743893764054,1.9256106235945936
12,idea captures essence,2,18.403,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
13,algorithms,2,21.91,21.0,-0.91,D,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,21.0,HIGH,MEDIUM,True,,,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
14,essence local,2,19.485,20.5,1.0150000000000006,B,ocr_forward_partial,0.8,3.0,19.5,24.0,,MEDIUM,MEDIUM,False,,,92.08869474905613,99.77499999999999,92.08869474905613,Suboptimal,82.87982527415052,3,1.0,92.08869474905613,6.329044200755096
15,solution possibility,3,29.399,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
16,explore exhaustively instead,3,26.256,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
17,techniques used search,3,23.172,21.0,-2.1720000000000006,D,ocr_at_tnarr_partial,0.8,3.0,19.5,24.0,21.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
18,perfect solution,3,29.058,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
19,instead looking perfect,3,27.997,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
20,every possibility,3,30.12,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
