keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,proposed meir explains,0,35.735,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
1,presented using words,0,40.762,27.5,-13.262,A,ocr_at_tnarr_partial,0.8,5.0,27.5,169.5,,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
2,cognitive theory multimedia,0,33.211,27.5,-5.710999999999999,A,ocr_at_tnarr_full,1.0,5.0,27.5,169.5,,HIGH,MEDIUM,True,,,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
3,people learn better,0,38.298,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
4,multimedia learning proposed,0,34.353,27.5,-6.8530000000000015,A,ocr_at_tnarr_partial,0.8,5.0,27.5,169.5,,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
5,pictures,0,42.865,27.5,-15.365000000000002,A,ocr_at_tnarr_full,1.0,5.0,27.5,169.5,,HIGH,MEDIUM,True,,,99.99259888500714,99.99259888500714,99.99259888500714,Optimal,99.99259888500714,3,1.0,99.99259888500714,0.007401114992859448
6,information,0,40.021,27.5,-12.521,E,gemini_concept_exact,0.8999999999999999,5.0,27.5,169.5,,HIGH,MEDIUM,True,"this image is a diagram illustrating the ""cognitive theory of multimedia learning."" it outlines how information from a multimedia presentation is processed by a learner to form long-term memories.",1.0,100.0,100.0,100.0,Optimal,95.0,3,1.0,100.0,0.0
7,key principles dual,1,48.312,27.5,-20.812,A,ocr_at_tnarr_partial,0.8,5.0,27.5,169.5,,MEDIUM,MEDIUM,True,,,98.14086884748352,98.14086884748352,98.14086884748352,Optimal,88.32678196273517,3,1.0,98.14086884748352,1.4873049220131862
8,capacity active processing,1,51.817,27.5,-24.317,A,ocr_at_tnarr_full,1.0,5.0,27.5,169.5,,HIGH,MEDIUM,True,,,95.29185678240606,95.29185678240606,95.29185678240606,Optimal,95.29185678240606,3,1.0,95.29185678240606,4.708143217593943
9,dual channel,1,50.095,27.5,-22.595,A,ocr_at_tnarr_full,1.0,5.0,27.5,169.5,,HIGH,MEDIUM,True,,,96.84613727090944,96.84613727090944,96.84613727090944,Optimal,96.84613727090944,3,1.0,96.84613727090944,3.1538627290905623
