segment_id,text_preview,n_keywords,n_matched,n_unmatched,match_rate,mean_S_temporal,median_S_temporal,mean_S_piecewise,mean_delta_t,median_delta_t,min_delta_t,max_delta_t,n_Optimal,n_Suboptimal,n_Disruptive,n_Unacceptable,n_high_confidence,n_medium_confidence,mean_S_high_conf,importance,importance_weight,mean_S_weighted,max_priority
0,"Imagine you're standing in a foggy landscape of hills and valleys, and your goal",5,0,5,0.0,,,,,,,,0,0,0,0,0,0,,5,1.2,,0.0
1,"You can't see very far ahead, only a little around you, so you take one step at ",6,1,5,0.16666666666666666,100.0,100.0,100.0,-12.193,-12.193,-12.193,-12.193,1,0,0,0,1,0,100.0,5,1.2,120.0,0.0
2,This idea captures the essence of local search and optimization algorithms.,4,3,1,0.75,97.15375818838503,98.18121521654717,100.0,0.18499999999999986,0.4789999999999992,-0.9239999999999996,1.0,3,0,0,0,3,0,96.83094995173691,2,0.9,87.14785495656322,5.535623060162226
3,These techniques are used when the search space is too large to explore exhausti,7,2,5,0.2857142857142857,100.0,100.0,100.0,-1.2769999999999992,-1.2769999999999992,-2.186,-0.3679999999999985,2,0,0,0,2,0,100.0,4,1.1,110.00000000000001,0.0
4,we try to find a good enough solution by making small changes and seeing if they,5,0,5,0.0,,,,,,,,0,0,0,0,0,0,,5,1.2,,0.0
5,Local search algorithms operate on a single current state rather than exploring ,5,4,1,0.8,99.99999999999999,100.0,99.99999999999999,-0.5764999999999993,-0.5714999999999968,-0.9230000000000018,-0.240000000000002,4,0,0,0,4,0,100.0,3,1.0,100.0,0.0
6,"They move from one state to a neighboring state, usually based on some objective",5,4,1,0.8,99.99999999999999,100.0,99.99999999999999,-4.978999999999999,-5.0275,-8.970999999999997,-0.8900000000000006,4,0,0,0,4,0,100.0,4,1.1,110.00000000000001,0.0
7,"If the move leads to an improvement, they accept it and continue.",3,0,3,0.0,,,,,,,,0,0,0,0,0,0,,3,1.0,,0.0
8,This makes local search efficient for problems where finding a solution is less ,5,5,0,1.0,100.0,100.0,100.0,-5.198600000000001,-2.0630000000000024,-17.32,-0.0600000000000022,5,0,0,0,5,0,100.0,3,1.0,100.0,0.0
9,Let's start with hill climbing.,2,0,2,0.0,,,,,,,,0,0,0,0,0,0,,5,1.2,,0.0
10,It's one of the simplest local search methods.,1,1,0,1.0,99.77979480814886,99.77979480814886,100.0,0.1659999999999968,0.1659999999999968,0.1659999999999968,0.1659999999999968,1,0,0,0,1,0,99.77979480814886,1,0.8,79.8238358465191,0.1761641534809087
11,The idea is to start with some initial solution and then look around at neighbor,3,0,3,0.0,,,,,,,,0,0,0,0,0,0,,1,0.8000000000000002,,0.0
12,"If one of those neighbors is better than the current state, we move to that new ",3,0,3,0.0,,,,,,,,0,0,0,0,0,0,,5,1.2,,0.0
13,We keep repeating this process.,1,0,1,0.0,,,,,,,,0,0,0,0,0,0,,2,0.9,,0.0
14,always moving to a better neighbor until we can't find any improvement.,2,0,2,0.0,,,,,,,,0,0,0,0,0,0,,1,0.8,,0.0
15,"At that point, we stop.",1,0,1,0.0,,,,,,,,0,0,0,0,0,0,,4,1.1,,0.0
16,"However, hill climbing has a major limitation.",2,0,2,0.0,,,,,,,,0,0,0,0,0,0,,1,0.8,,0.0
17,It can get stuck.,1,0,1,0.0,,,,,,,,0,0,0,0,0,0,,4,1.1,,0.0
18,Imagine you're climbing a hill in that foggy landscape and you reach a small bum,7,0,7,0.0,,,,,,,,0,0,0,0,0,0,,5,1.2,,0.0
