t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,gemini_concept_matched,gemini_match_score,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,gap_since_expired,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
5.059,13.0,7.941,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,0,theorem arguably critical,0,MEDIUM,,0.6443016293244143,0.0,0.6443016293244143,Unacceptable,0.6120865478581935,2,0.6,0.38658097759464854,53.652077120164805
4.739,0.0,10.0,C,ocr_backward_expired,0.8,1.0,0.0,4.0,,MEDIUM,,,False,1,bayes' theorem,0,MEDIUM,0.7389999999999999,0.033546262790251184,0.0,0.033546262790251184,Unacceptable,0.030191636511226066,2,0.6,0.02012775767415071,47.98389779386068
6.461,13.0,6.539,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,2,most critical concepts,0,MEDIUM,,3.2690143125175672,0.0,3.2690143125175672,Unacceptable,3.1055635968916886,2,0.6,1.9614085875105403,52.2347322712405
7.022,13.0,5.978,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,3,concepts probability,0,MEDIUM,,5.733071732099318,0.0,5.733071732099318,Unacceptable,5.446418145494352,2,0.6,3.4398430392595905,50.904141264666364
4.739,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,4,bayes theorem arguably,0,MEDIUM,,,,,No Match,,2,0.6,,0.0
15.511,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,5,validation machine learning,1,MEDIUM,,,,,No Match,,3,1.0,,0.0
10.766,13.0,2.234,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,6,machine learning algorithms,1,MEDIUM,,67.08159444568837,81.49000000000001,67.08159444568837,Suboptimal,63.72751472340394,3,1.0,67.08159444568837,29.62656499888047
11.587,13.0,1.4130000000000005,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,7,algorithms general,1,MEDIUM,,85.23777174962895,93.80499999999999,85.23777174962895,Suboptimal,80.9758831621475,3,1.0,85.23777174962895,13.286005425333945
12.708,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,,,False,8,naive bayes assessment,1,MEDIUM,,,,,No Match,,3,1.0,,0.0
9.865,13.0,3.135,E,gemini_concept_exact,0.8999999999999999,4.0,13.0,14.5,,HIGH,it,1.0,False,9,critical machine learning,1,MEDIUM,,45.55462639688049,65.275,45.55462639688049,Disruptive,43.27689507703646,3,1.0,45.55462639688049,49.00083624280756
