keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gap_since_expired,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,bayes theorem arguably,0,4.739,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,5,2.0,,0.0
1,concepts probability,0,7.022,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,5,2.0,,0.0
2,most critical concepts,0,6.461,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,5,2.0,,0.0
3,theorem arguably critical,0,5.059,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,5,2.0,,0.0
4,bayes' theorem,0,4.739,0.0,10.0,C,ocr_backward_expired,0.8,1.0,0.0,4.0,,MEDIUM,MEDIUM,False,0.7389999999999999,0.033546262790251184,0.0,0.033546262790251184,Unacceptable,0.030191636511226066,5,2.0,0.06709252558050237,159.9463259795356
5,machine learning algorithms,1,10.766,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
6,critical machine learning,1,9.865,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
7,validation machine learning,1,15.511,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
8,algorithms general,1,11.587,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
9,naive bayes assessment,1,12.708,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
10,statistics medicine,2,22.318,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
11,heavily pertinent statistics,2,19.936,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
12,medicine sciences general,2,23.7,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
13,behavior video games,3,31.168,35.5,4.332000000000001,B,ocr_forward_partial,0.8,8.0,32.5,36.0,,MEDIUM,HIGH,False,,22.2840742911809,23.379999999999974,22.2840742911809,Disruptive,20.05566686206281,2,0.6,13.37044457470854,37.30364434023317
14,example going,3,27.804,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,No Match,,2,0.6,,0.0
15,video games lack,3,32.009,35.5,3.491,B,ocr_forward_partial,0.8,8.0,32.5,36.0,,MEDIUM,HIGH,False,,37.720499726275555,52.815,37.720499726275555,Disruptive,33.948449753648,2,0.6,22.632299835765334,29.894160131387732
16,homicidal behavior video,3,30.527,30.5,-0.027000000000001,A,ocr_at_tnarr_partial,0.8,7.0,30.5,32.5,,MEDIUM,HIGH,True,,100.0,100.0,100.0,Optimal,90.0,2,0.6,60.0,0.0
17,study relationship homicidal,3,29.106,30.0,0.8939999999999984,D,ocr_at_tnarr_partial,0.8,6.0,18.5,30.5,30.0,MEDIUM,MEDIUM,True,,93.8062332148368,100.0,93.8062332148368,Optimal,84.42560989335311,2,0.6,56.28373992890207,2.9730080568783386
18,theorem thought flipping,4,37.557,36.5,-1.0570000000000022,A,ocr_at_tnarr_partial,0.8,9.0,36.0,61.5,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
19,a's theorem,4,37.257,36.5,-0.7569999999999979,A,ocr_at_tnarr_partial,0.8,9.0,36.0,61.5,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
20,flipping conditional probability,4,39.761,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
21,questions conflate,5,49.335,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
22,two very different questions,5,48.373,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
23,probability given different,5,42.505,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
24,given interested,5,43.186,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
25,what,5,44.387,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,No Match,,4,1.5,,0.0
26,interested probability,5,44.768,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,4,1.5,,0.0
27,three pieces,6,57.466,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
28,flip need probability,6,52.579,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
29,plug pieces information,6,57.126,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
30,probability plug,6,53.861,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
31,homicidal,7,66.342,72.0,5.658000000000001,D,ocr_at_tnarr_full,1.0,10.0,61.5,82.0,72.0,HIGH,MEDIUM,True,,7.72246077117031,0.0,7.72246077117031,Unacceptable,7.72246077117031,3,1.0,7.72246077117031,92.2775392288297
32,b. let,7,60.691,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,No Match,,3,1.0,,0.0
33,someone,7,65.962,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
34,probability gamer given,7,59.79,62.0,2.210000000000001,B,ocr_forward_partial,0.8,10.0,61.5,82.0,,MEDIUM,MEDIUM,False,,67.6564156464655,81.85,67.6564156464655,Suboptimal,60.890774081818954,3,1.0,67.6564156464655,25.874867482827597
35,probability a,7,59.79,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
36,let say study,7,63.697,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
37,probability homicidal given,8,72.412,72.0,-0.4120000000000061,D,ocr_at_tnarr_partial,0.8,10.0,61.5,82.0,72.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
38,homicidal given gamer,8,73.093,62.0,-11.093000000000004,A,ocr_at_tnarr_partial,0.8,10.0,61.5,82.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
39,real question interested,9,75.477,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
40,two conditional probabilities,10,78.943,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
41,conditional probabilities equal,10,79.343,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
42,conflate conditional probabilities,10,77.641,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
43,reverse direction probability,11,82.729,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
44,probability need,11,83.791,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
45,need pieces information,11,84.732,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
46,few more pieces,11,84.952,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
47,industry research approximately,12,87.577,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
48,approximately 0.19 or 19%,12,89.239,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
49,19 19 population,12,91.215,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
50,violent video games,12,93.632,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,HIGH,False,,,,,No Match,,3,1.0,,0.0
51,united states,12,94.793,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
52,population plays,12,92.531,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
