segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,4,heuristic_v4,heuristic,False,4,,0.4297
1,5,heuristic_v4,heuristic,False,5,,0.4975
2,3,heuristic_v4,heuristic,False,3,,0.4051
3,2,heuristic_v4,heuristic,False,2,,0.3857
4,1,heuristic_v4,heuristic,False,1,,0.3031
5,3,heuristic_v4,heuristic,False,3,,0.4128
6,2,heuristic_v4,heuristic,False,2,,0.3774
7,3,heuristic_v4,heuristic,False,3,,0.4113
8,3,heuristic_v4,heuristic,False,3,,0.4043
9,3,heuristic_v4,heuristic,False,3,,0.406
10,4,heuristic_v4,heuristic,False,4,,0.4143
11,1,heuristic_v4,heuristic,False,1,,0.3595
12,5,heuristic_v4,heuristic,False,5,,0.4895
13,3,heuristic_v4,heuristic,False,3,,0.4073
14,2,heuristic_v4,heuristic,False,2,,0.4038
15,4,heuristic_v4,heuristic,False,4,,0.4723
16,5,heuristic_v4,heuristic,False,5,,0.4837
17,2,heuristic_v4,heuristic,False,2,,0.3856
18,2,heuristic_v4,heuristic,False,2,,0.3731
19,4,heuristic_v4,heuristic,False,4,,0.4363
20,1,heuristic_v4,heuristic,False,1,,0.3501
21,4,heuristic_v4,heuristic,False,4,,0.4439
22,4,heuristic_v4,heuristic,False,4,,0.4326
23,5,heuristic_v4,heuristic,False,5,,0.5748
24,1,heuristic_v4,heuristic,False,1,,0.3303
25,1,heuristic_v4,heuristic,False,1,,0.3331
26,1,heuristic_v4,heuristic,False,1,,0.3518
27,3,heuristic_v4,heuristic,False,3,,0.4137
28,1,heuristic_v4,heuristic,False,1,,0.3507
29,5,heuristic_v4,heuristic,False,5,,0.5309
30,2,heuristic_v4,heuristic,False,2,,0.394
31,2,heuristic_v4,heuristic,False,2,,0.3809
32,2,heuristic_v4,heuristic,False,2,,0.4012
33,5,heuristic_v4,heuristic,False,5,,0.486
34,5,heuristic_v4,heuristic,False,5,,0.4811
35,1,heuristic_v4,heuristic,False,1,,0.2695
36,4,heuristic_v4,heuristic,False,4,,0.4712
37,5,heuristic_v4,heuristic,False,5,,0.4729
38,4,heuristic_v4,heuristic,False,4,,0.4247
