t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
2.55,0.5,-2.05,A,ocr_at_tnarr_partial,0.8,1.0,0.5,24.5,,MEDIUM,True,0,multimedia learning proposed,0,MEDIUM,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
6.494,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,1,people learn better,0,MEDIUM,,,,,,No Match,,3,1.0,,0.0
11.038,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,2,pictures,0,MEDIUM,,,,,,No Match,,3,1.0,,0.0
1.388,0.5,-0.8879999999999999,A,ocr_at_tnarr_full,1.0,1.0,0.5,24.5,,HIGH,True,3,cognitive theory multimedia,0,MEDIUM,,,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
3.911,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,4,proposed meir explains,0,MEDIUM,,,,,,No Match,,3,1.0,,0.0
8.216,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,5,information,0,MEDIUM,,,,,,No Match,,3,1.0,,0.0
8.936,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,6,presented using words,0,MEDIUM,,,,,,No Match,,3,1.0,,0.0
14.422,0.5,-13.922,A,ocr_at_tnarr_partial,0.8,1.0,0.5,24.5,,MEDIUM,True,7,theory based,1,MEDIUM,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
18.266,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,8,dual channel,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
18.647,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,9,channel limited,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
16.504,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,10,key principles dual,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
19.588,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,11,limited capacity,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
20.008,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,12,capacity active processing,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
15.944,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,13,three key principles,1,MEDIUM,,,,,,No Match,,3,1.0,,0.0
25.213,24.5,-0.713000000000001,A,ocr_at_tnarr_partial,0.8,2.0,24.5,32.0,,MEDIUM,True,14,presentation combining words,2,MEDIUM,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
23.091,0.5,-22.591,A,ocr_at_tnarr_partial,0.8,1.0,0.5,24.5,,MEDIUM,True,15,learning starts multimedia,2,MEDIUM,,,96.8494055603685,96.8494055603685,96.8494055603685,Optimal,87.16446500433165,3,1.0,96.8494055603685,2.5204755517052035
24.533,24.5,-0.0330000000000012,A,ocr_at_tnarr_full,1.0,2.0,24.5,32.0,,HIGH,True,16,multimedia presentation,2,MEDIUM,,,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
27.476,27.5,0.0240000000000009,D,ocr_at_tnarr_full,1.0,2.0,24.5,32.0,27.5,HIGH,True,17,words pictures,2,MEDIUM,,,99.99539210616669,100.0,99.99539210616669,Optimal,99.99539210616669,3,1.0,99.99539210616669,0.0046078938333096175
37.143,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,18,auditory information,3,MEDIUM,,,,,,No Match,,3,1.0,,0.0
36.062,35.5,-0.5619999999999976,D,ocr_at_tnarr_partial,0.8,4.0,33.5,48.5,35.5,MEDIUM,True,19,ears auditory,3,MEDIUM,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
30.516,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,20,inputs processed sensors,3,MEDIUM,,,,,,No Match,,3,1.0,,0.0
32.458,33.5,1.0420000000000016,D,ocr_at_tnarr_partial,0.8,3.0,32.0,33.5,33.5,MEDIUM,True,21,sensors eyes,3,MEDIUM,,,91.68044125888784,99.36999999999998,91.68044125888784,Suboptimal,82.51239713299906,3,1.0,91.68044125888784,6.655646992889729
33.839,33.5,-0.3389999999999986,A,ocr_at_tnarr_partial,0.8,4.0,33.5,48.5,,MEDIUM,True,22,eyes visual ears,3,MEDIUM,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
