segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,5,heuristic_v4,heuristic,False,5,,0.5122
1,5,heuristic_v4,heuristic,False,5,,0.5009
2,4,heuristic_v4,heuristic,False,4,,0.4694
3,1,heuristic_v4,heuristic,False,1,,0.3642
4,1,heuristic_v4,heuristic,False,1,,0.2859
5,2,heuristic_v4,heuristic,False,2,,0.3696
6,4,heuristic_v4,heuristic,False,4,,0.4456
7,4,heuristic_v4,heuristic,False,4,,0.4461
8,5,heuristic_v4,heuristic,False,5,,0.4951
9,1,heuristic_v4,heuristic,False,1,,0.3158
10,2,heuristic_v4,heuristic,False,2,,0.4043
11,3,heuristic_v4,heuristic,False,3,,0.4304
12,3,heuristic_v4,heuristic,False,3,,0.4096
13,5,heuristic_v4,heuristic,False,5,,0.5314
14,3,heuristic_v4,heuristic,False,3,,0.442
15,4,heuristic_v4,heuristic,False,4,,0.4567
16,2,heuristic_v4,heuristic,False,2,,0.3912
17,3,heuristic_v4,heuristic,False,3,,0.4283
18,5,heuristic_v4,heuristic,False,5,,0.5761
19,5,heuristic_v4,heuristic,False,5,,0.5219
20,2,heuristic_v4,heuristic,False,2,,0.3804
21,1,heuristic_v4,heuristic,False,1,,0.22
22,4,heuristic_v4,heuristic,False,4,,0.457
23,5,heuristic_v4,heuristic,False,5,,0.4699
24,4,heuristic_v4,heuristic,False,4,,0.4577
25,4,heuristic_v4,heuristic,False,4,,0.4447
26,4,heuristic_v4,heuristic,False,4,,0.4541
27,3,heuristic_v4,heuristic,False,3,,0.4266
28,1,heuristic_v4,heuristic,False,1,,0.3534
29,2,heuristic_v4,heuristic,False,2,,0.4039
30,2,heuristic_v4,heuristic,False,2,,0.3906
31,2,heuristic_v4,heuristic,False,2,,0.3954
32,3,heuristic_v4,heuristic,False,3,,0.4143
33,2,heuristic_v4,heuristic,False,2,,0.3902
34,1,heuristic_v4,heuristic,False,1,,0.3692
35,5,heuristic_v4,heuristic,False,5,,0.5536
36,3,heuristic_v4,heuristic,False,3,,0.4142
37,5,heuristic_v4,heuristic,False,5,,0.4988
38,2,heuristic_v4,heuristic,False,2,,0.4043
39,3,heuristic_v4,heuristic,False,3,,0.42
40,1,heuristic_v4,heuristic,False,1,,0.3461
41,1,heuristic_v4,heuristic,False,1,,0.3293
42,4,heuristic_v4,heuristic,False,4,,0.4613
43,1,heuristic_v4,heuristic,False,1,,0.2321
