keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,pictures,0,11.041,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
1,proposed meir explains,0,3.912,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
2,presented using words,0,8.938,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
3,multimedia learning proposed,0,2.55,1.0,-1.5499999999999998,A,ocr_at_tnarr_partial,0.8,1.0,1.0,28.5,,MEDIUM,MEDIUM,True,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
4,information,0,8.217,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
5,cognitive theory multimedia,0,1.388,1.0,-0.3879999999999999,A,ocr_at_tnarr_full,1.0,1.0,1.0,28.5,,HIGH,MEDIUM,True,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
6,people learn better,0,6.495,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
7,channel limited,1,18.65,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
8,theory based,1,14.425,1.0,-13.425,A,ocr_at_tnarr_partial,0.8,1.0,1.0,28.5,,MEDIUM,MEDIUM,True,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
9,limited capacity,1,19.591,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
10,capacity active processing,1,20.012,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
11,key principles dual,1,16.508,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
12,dual channel,1,18.27,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
13,three key principles,1,15.947,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
14,words pictures,2,27.461,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
15,learning starts multimedia,2,23.076,1.0,-22.076,A,ocr_at_tnarr_partial,0.8,1.0,1.0,28.5,,MEDIUM,MEDIUM,True,97.2566775374877,97.2566775374877,97.2566775374877,Optimal,87.53100978373894,3,1.0,97.2566775374877,2.1946579700098368
16,presentation combining words,2,25.199,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
17,multimedia presentation,2,24.518,1.0,-23.518,A,ocr_at_tnarr_partial,0.8,1.0,1.0,28.5,,MEDIUM,MEDIUM,True,96.04925349122034,96.04925349122034,96.04925349122034,Optimal,86.44432814209831,3,1.0,96.04925349122034,3.160597207023727
18,visual and ears,3,34.604,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
19,auditory information,3,37.127,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
20,eyes visual ears,3,33.823,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
21,sensors eyes,3,32.441,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
22,ears auditory,3,36.045,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
23,inputs processed sensors,3,30.479,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
24,two distinct channels,4,41.972,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
25,visual and auditory input,4,43.634,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
26,distinct channels visual,4,42.333,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
27,dual channel assumption,4,39.95,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
