t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
13.691,7.5,-6.191000000000001,A,ocr_at_tnarr_full,1.0,3.0,7.5,28.5,,HIGH,True,0,ai-powered video evaluation,0,HIGH,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
13.0305,7.5,-5.5305,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,1,ai powered,0,MEDIUM,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
11.529,7.5,-4.029,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,2,instructional video ai,0,HIGH,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
10.628,7.5,-3.128,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,3,welcome instructional video,0,HIGH,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
19.718,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,4,ai-driven system,1,MEDIUM,,,,No Match,,3,1.0,,0.0
22.922,7.5,-15.422,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,5,analyzes instructional video,1,HIGH,99.99010693384052,99.99010693384052,99.99010693384052,Optimal,89.99109624045647,3,1.0,99.99010693384052,0.007914452927582262
17.736,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,6,demonstrate ai,1,MEDIUM,,,,No Match,,3,1.0,,0.0
23.582,7.5,-16.082,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,7,instructional video content,1,HIGH,99.93498092434547,99.93498092434547,99.93498092434547,Optimal,89.94148283191092,3,1.0,99.93498092434547,0.05201526052362624
21.079,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,8,efficiently evaluates,1,MEDIUM,,,,No Match,,3,1.0,,0.0
20.839,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,9,ai driven efficiently,1,MEDIUM,,,,No Match,,3,1.0,,0.0
27.286,7.5,-19.786,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,10,process follows simple,2,MEDIUM,98.73551838544586,98.73551838544586,98.73551838544586,Optimal,88.86196654690127,3,1.0,98.73551838544586,1.0115852916433141
26.566,7.5,-19.066,A,ocr_at_tnarr_partial,0.8,3.0,7.5,28.5,,MEDIUM,True,11,evaluation process follows,2,MEDIUM,99.08574077676414,99.08574077676414,99.08574077676414,Optimal,89.17716669908773,3,1.0,99.08574077676414,0.7314073785886877
28.628,28.5,-0.1280000000000001,A,ocr_at_tnarr_partial,0.8,4.0,28.5,90.5,,MEDIUM,True,12,simple yet powerful three-step ai pipeline,2,MEDIUM,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
33.353,28.5,-4.8530000000000015,A,ocr_at_tnarr_partial,0.8,4.0,28.5,90.5,,MEDIUM,True,13,explore step briefly,3,MEDIUM,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
34.144000000000005,28.5,-5.6440000000000055,A,ocr_at_tnarr_partial,0.8,4.0,28.5,90.5,,MEDIUM,True,14,let explore step,3,MEDIUM,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
33.854,,,F,low_groundability,0.0,,,,,NONE,False,15,each step,3,LOW,,,,No Match,,3,1.0,,0.0
35.696,28.5,-7.195999999999998,A,ocr_at_tnarr_full,1.0,4.0,28.5,90.5,,HIGH,True,16,step audio processing,4,MEDIUM,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
44.18,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,17,key concepts,5,MEDIUM,,,,No Match,,3,1.0,,0.0
45.602,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,18,ensuring precise,5,MEDIUM,,,,No Match,,3,1.0,,0.0
46.143,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,19,precise content analysis,5,MEDIUM,,,,No Match,,3,1.0,,0.0
