keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gemini_concept_matched,gemini_match_score,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,imagine,0,3.912,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,,No Match,,3,1.0,,0.0
1,standing foggy landscape,0,4.533,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
2,hills valleys,0,6.216,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
3,valleys goal reach,0,6.877,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
4,reach highest peak,0,9.041,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
5,ahead little,1,12.207,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
6,far ahead,1,11.946,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
7,little step time,1,13.489,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
8,one step,1,14.992,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,,No Match,,3,1.0,,0.0
9,time direction,1,15.693,3.5,-12.193,E,gemini_concept_fuzzy,0.8347826086956521,2.0,3.5,19.5,,MEDIUM,MEDIUM,True,hinting at the direction of the sun.,0.783,100.0,100.0,100.0,Optimal,91.73913043478261,3,1.0,100.0,0.0
10,direction upward,1,16.154,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
11,local search optimization,2,20.021,20.5,0.4789999999999992,A,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,,HIGH,MEDIUM,True,,,98.18121521654717,100.0,98.18121521654717,Optimal,98.18121521654717,4,1.5,147.27182282482076,2.7281771751792405
12,essence local,2,19.5,20.5,1.0,B,ocr_forward_partial,0.8,3.0,19.5,24.0,,MEDIUM,MEDIUM,False,,,92.31163463866358,100.0,92.31163463866358,Optimal,83.08047117479722,4,1.5,138.46745195799537,9.226038433603708
13,algorithms,2,21.924,21.0,-0.9239999999999996,D,ocr_at_tnarr_full,1.0,3.0,19.5,24.0,21.0,HIGH,MEDIUM,True,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
14,idea captures essence,2,18.438,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
15,every possibility,3,30.153,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
16,explore exhaustively instead,3,26.269,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
17,solution possibility,3,29.413,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
18,instead looking perfect,3,28.031,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
19,search space large,3,24.368,24.0,-0.3679999999999985,A,ocr_at_tnarr_partial,0.8,4.0,24.0,28.5,,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
20,techniques used search,3,23.186,21.0,-2.186,D,ocr_at_tnarr_partial,0.8,3.0,19.5,24.0,21.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
21,perfect solution,3,29.092,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
22,good enough solution,4,32.295,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
23,seeing improve outcome,4,35.138,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
24,try good,4,31.715,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
25,solution making small,4,32.656,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
26,making small changes,4,33.356,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
27,multiple paths,5,41.525,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,3,1.0,,0.0
28,local search algorithms,5,37.24,37.0,-0.240000000000002,A,ocr_at_tnarr_full,1.0,7.0,37.0,54.5,,HIGH,MEDIUM,True,,,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
29,single current state,5,39.282,39.0,-0.2819999999999965,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,39.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
30,algorithms operate single,5,37.861,37.0,-0.8609999999999971,A,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
31,state exploring multiple,5,39.923,39.0,-0.9230000000000018,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,39.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
32,one state,6,43.607,39.0,-4.606999999999999,D,ocr_at_tnarr_full,1.0,7.0,37.0,54.5,39.0,HIGH,MEDIUM,True,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
33,usually based objective,6,45.849,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,,No Match,,4,1.5,,0.0
34,objective function measures,6,46.89,46.0,-0.8900000000000006,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,46.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,4,1.5,150.0,0.0
35,neighboring state usually,6,44.448,39.0,-5.448,D,ocr_at_tnarr_partial,0.8,7.0,37.0,54.5,39.0,MEDIUM,MEDIUM,True,,,100.0,100.0,100.0,Optimal,90.0,4,1.5,150.0,0.0
