t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,gemini_concept_matched,gemini_match_score,gap_since_expired,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
1.762,0.0,-1.762,A,ocr_at_tnarr_partial,0.8,1.0,0.0,7.5,,MEDIUM,True,0,k&n algorithm,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
5.647,0.0,-5.647,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,1,classification problems,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
1.081,0.0,-1.081,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,2,neighbor algorithm supervised,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
4.926,0.0,-4.926,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,3,mainly used classification,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
3.264,0.0,-3.264,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,4,supervised learning technique,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
0.52,0.0,-0.52,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,5,nearest neighbor algorithm,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
0.52,0.0,-0.52,A,ocr_at_tnarr_full,1.0,1.0,0.0,7.5,,HIGH,True,6,k-nearest neighbor,0,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
13.158,7.5,-5.658,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,7,similarity neighbors classified,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
9.453,7.5,-1.9529999999999996,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,8,training cases classifies,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
7.63,7.5,-0.1299999999999999,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,9,captures information,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
11.716,7.5,-4.215999999999999,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,10,new case based,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
9.012,7.5,-1.5120000000000005,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,11,all training cases,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
11.015,7.5,-3.515000000000001,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,12,classifies new,1,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,4,1.5,150.0,0.0
21.75,7.5,-14.25,A,ocr_at_tnarr_partial,0.8,2.0,7.5,31.0,,MEDIUM,True,13,k&n algorithm,2,MEDIUM,,,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
19.226,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,14,defined constant,2,MEDIUM,,,,,,,No Match,,5,2.0,,0.0
20.548,7.5,-13.047999999999998,A,ocr_at_tnarr_partial,0.8,2.0,7.5,31.0,,MEDIUM,True,15,known algorithm,2,MEDIUM,,,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
17.184,7.5,-9.684,A,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,,HIGH,True,16,nearest neighbors consider,2,MEDIUM,,,,100.0,100.0,100.0,Optimal,100.0,5,2.0,200.0,0.0
16.803,18.0,1.1969999999999992,D,ocr_at_tnarr_full,1.0,2.0,7.5,31.0,18.0,HIGH,True,17,number,2,MEDIUM,,,,89.17007185689798,97.04500000000002,89.17007185689798,Suboptimal,89.17007185689798,5,2.0,178.34014371379595,21.659856286204047
18.065,18.0,-0.0650000000000012,D,ocr_at_tnarr_partial,0.8,2.0,7.5,31.0,18.0,MEDIUM,True,18,consider user defined,2,MEDIUM,,,,100.0,100.0,100.0,Optimal,90.0,5,2.0,200.0,0.0
